term,concept_id,preferred_label,original_term,original_class,class,regex,abc_role,abc_subrole,domain,concept_family,node_level,analysis_tier,atlas_layer,include_primary,primary_atlas_eligible,retain_reason,notes,dictionary_hit_present,corpus_hit_n,corpus_hit_pct,outcomes_supported,outcome_support_vector,total_outcome_cohit_articles,max_outcome_cohit_articles,dominant_outcome,separation_reason
antifibrotic_therapy,RAILD_V2_169,antifibrotic therapy,antifibrotic_therapy,drug,drug,(?i:\b(anti[-\s]?fibrotic\s+(therapy|treatment|agent(s)?|drug(s)?)|antifibrotic(s)?)\b),A,A_treatment_context,treatment_context,antifibrotic,aggregate,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=46/1493; A/upstream treatment category; complements nintedanib/pirfenidone; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,46,3.08,3,AE-ILD=1; progression=26; mortality=19,46,26,progression,Treatment context separated from primary disease-state bridge claims.
azathioprine,RAILD_V2_003,azathioprine,azathioprine,drug,drug,(?i:\b(?:azathioprine|AZA)\b),A,A_treatment_context,treatment_context,immunosuppressive_csDMARD,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,20,1.34,2,AE-ILD=0; progression=6; mortality=6,12,6,progression,Treatment context separated from primary disease-state bridge claims.
baricitinib,RAILD_V2_009,baricitinib,baricitinib,drug,drug,(?i:\b(baricitinib)\b),A,A_treatment_context,treatment_context,JAK_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,8,0.54,2,AE-ILD=0; progression=3; mortality=3,6,3,progression,Treatment context separated from primary disease-state bridge claims.
certolizumab,RAILD_V2_022,certolizumab,certolizumab,bio,biologic_drug,(?i:\bcertolizumab(?:\s*pegol)?\b),A,A_treatment_context,treatment_context,TNF_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,TNFi; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,2,0.13,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Treatment context separated from primary disease-state bridge claims.
cyclophosphamide,RAILD_V2_005,cyclophosphamide,cyclophosphamide,drug,drug,(?i:\b(?:cyclophosphamide|CYC)\b),A,A_treatment_context,treatment_context,immunosuppressive_csDMARD,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,Alkylating; v2_qc: Removed standalone CPA; CYC/full term retained to avoid ambiguous short acronym.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,29,1.94,3,AE-ILD=1; progression=13; mortality=12,26,13,progression,Treatment context separated from primary disease-state bridge claims.
cyclosporine,RAILD_V2_007,cyclosporine,cyclosporine,drug,drug,(?i:\b(?:cyclosporine|ciclosporin(?:e)?|CsA|CyA)\b),A,A_treatment_context,treatment_context,calcineurin_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,CNI; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,6,0.4,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Treatment context separated from primary disease-state bridge claims.
etanercept,RAILD_V2_019,etanercept,etanercept,bio,biologic_drug,(?i:\b(?:etanercept|ETN)\b),A,A_treatment_context,treatment_context,TNF_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,TNFi; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,13,0.87,2,AE-ILD=0; progression=2; mortality=1,3,2,progression,Treatment context separated from primary disease-state bridge claims.
filgotinib,RAILD_V2_011,filgotinib,filgotinib,drug,drug,(?i:\b(filgotinib|\bGLPG0634\b)\b),A,A_treatment_context,treatment_context,JAK_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,2,0.13,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Treatment context separated from primary disease-state bridge claims.
glucocorticoid,RAILD_V2_137,glucocorticoid,glucocorticoid,drug,drug,(?i:\b(prednisone|prednisolone|glucocorticoid(s)?|corticosteroid(s)?)\b),A,A_treatment_context,treatment_context,glucocorticoid,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: steroid therapy; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,126,8.44,3,AE-ILD=2; progression=26; mortality=42,70,42,mortality,Treatment context separated from primary disease-state bridge claims.
golimumab,RAILD_V2_021,golimumab,golimumab,bio,biologic_drug,(?i:\bgolimumab\b),A,A_treatment_context,treatment_context,TNF_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,TNFi; v2_qc: Removed GOL standalone acronym as low-yield; full term retained.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,0,0,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Treatment context separated from primary disease-state bridge claims.
immunosuppressive_therapy,RAILD_V2_168,immunosuppressive therapy,immunosuppressive_therapy,drug,drug,(?i:\b(immunosuppressive\s+(therapy|treatment|agent(s)?|drug(s)?|medication(s)?)|immunosuppressant(s)?)\b),A,A_treatment_context,treatment_context,treatment_category,aggregate,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=80/1493; A/upstream treatment category; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,80,5.36,3,AE-ILD=4; progression=23; mortality=37,64,37,mortality,Treatment context separated from primary disease-state bridge claims.
infliximab,RAILD_V2_020,infliximab,infliximab,bio,biologic_drug,(?i:\b(?:infliximab|IFX)\b),A,A_treatment_context,treatment_context,TNF_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,TNFi; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,14,0.94,2,AE-ILD=0; progression=3; mortality=4,7,4,mortality,Treatment context separated from primary disease-state bridge claims.
leflunomide,RAILD_V2_002,leflunomide,leflunomide,drug,drug,(?i:\b(?:leflunomide|LEF)\b),A,A_treatment_context,treatment_context,csDMARD,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,17,1.14,2,AE-ILD=0; progression=5; mortality=9,14,9,mortality,Treatment context separated from primary disease-state bridge claims.
methotrexate,RAILD_V2_001,methotrexate,methotrexate,drug,drug,(?i:\b(?:methotrexate|MTX)\b),A,A_treatment_context,treatment_context,csDMARD,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,118,7.9,3,AE-ILD=1; progression=28; mortality=31,60,31,mortality,Treatment context separated from primary disease-state bridge claims.
mycophenolate,RAILD_V2_004,mycophenolate,mycophenolate,drug,drug,(?i:\b(?:mycophenolate(?:\s+mofetil)?|MMF)\b),A,A_treatment_context,treatment_context,immunosuppressive_csDMARD,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,18,1.21,2,AE-ILD=0; progression=8; mortality=5,13,8,progression,Treatment context separated from primary disease-state bridge claims.
nintedanib,RAILD_V2_012,nintedanib,nintedanib,drug,drug,(?i:\b(nintedanib|ofev)\b),A,A_treatment_context,treatment_context,antifibrotic,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,antifibrotic; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,33,2.21,2,AE-ILD=0; progression=20; mortality=14,34,20,progression,Treatment context separated from primary disease-state bridge claims.
pirfenidone,RAILD_V2_013,pirfenidone,pirfenidone,drug,drug,(?i:\b(pirfenidone|esbriet)\b),A,A_treatment_context,treatment_context,antifibrotic,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,antifibrotic; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,17,1.14,2,AE-ILD=0; progression=6; mortality=9,15,9,mortality,Treatment context separated from primary disease-state bridge claims.
rituximab,RAILD_V2_014,rituximab,rituximab,bio,biologic_drug,(?i:\b(?:rituximab|RTX)\b),A,A_treatment_context,treatment_context,B_cell_targeted_biologic,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,B-cell; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,39,2.61,2,AE-ILD=0; progression=12; mortality=19,31,19,mortality,Treatment context separated from primary disease-state bridge claims.
sarilumab,RAILD_V2_017,sarilumab,sarilumab,bio,biologic_drug,(?i:\bsarilumab\b),A,A_treatment_context,treatment_context,IL6_pathway_biologic,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,IL6; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,1,0.07,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Treatment context separated from primary disease-state bridge claims.
tacrolimus,RAILD_V2_006,tacrolimus,tacrolimus,drug,drug,(?i:\b(?:tacrolimus|FK[-\s]?506)\b),A,A_treatment_context,treatment_context,calcineurin_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,CNI; v2_qc: Removed standalone TAC because corpus contains CXCL11/I-TAC; full tacrolimus/FK506 retained.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,11,0.74,2,AE-ILD=0; progression=3; mortality=5,8,5,mortality,Treatment context separated from primary disease-state bridge claims.
tocilizumab,RAILD_V2_016,tocilizumab,tocilizumab,bio,biologic_drug,(?i:\b(?:tocilizumab|TCZ)\b),A,A_treatment_context,treatment_context,IL6_pathway_biologic,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,IL6; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,26,1.74,3,AE-ILD=2; progression=11; mortality=10,23,11,progression,Treatment context separated from primary disease-state bridge claims.
tofacitinib,RAILD_V2_008,tofacitinib,tofacitinib,drug,drug,(?i:\b(tofacitinib)\b),A,A_treatment_context,treatment_context,JAK_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,10,0.67,2,AE-ILD=0; progression=2; mortality=1,3,2,progression,Treatment context separated from primary disease-state bridge claims.
upadacitinib,RAILD_V2_010,upadacitinib,upadacitinib,drug,drug,(?i:\b(upadacitinib)\b),A,A_treatment_context,treatment_context,JAK_inhibitor,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,1,0.07,0,AE-ILD=0; progression=0; mortality=0,0,0,NA,Treatment context separated from primary disease-state bridge claims.
adverse_event,RAILD_V2_192,adverse event,adverse_event,outcome,outcome,(?i:\b(adverse\s+event(s)?|serious\s+adverse\s+event(s)?|safety\s+profile|treatment[-\s]?emergent\s+adverse\s+event(s)?)\b),C,C_treatment_safety_context,treatment_safety_context,safety_outcome,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=63/1493; C/safety outcome; frequent in treatment abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,63,4.22,2,AE-ILD=0; progression=20; mortality=18,38,20,progression,Treatment context separated from primary disease-state bridge claims.
drug_induced_ILD,RAILD_V2_138,drug induced ILD,drug_induced_ILD,event,event,(?i:\b(?:(?:drug|treatment|therapy|medication)[-\s]?(?:induced|related|associated)\s+(?:interstitial\s+lung\s+disease|ILD|pneumonitis|lung\s+injury|pulmonary\s+toxicity)|(?:methotrexate|MTX|leflunomide|LEF|infliximab|etanercept|adalimumab|golimumab|certolizumab|rituximab|abatacept|tocilizumab)[-\s]?(?:induced|related|associated)\s+(?:interstitial\s+lung\s+disease|ILD|pneumonitis|lung\s+injury|pulmonary\s+toxicity)|(?:anti[-\s]?TNF(?:-\alpha)?|TNF[-\s]?(?:inhibitor|blocker|antagonist|therapy)|biologic(?:al)?\s+agent)[-\s]?(?:induced|related|associated)\s+(?:interstitial\s+lung\s+disease|ILD|pneumonitis|lung\s+injury|pulmonary\s+toxicity)|(?:methotrexate|MTX|leflunomide|LEF)\s+(?:pneumonitis|lung\s+injury)|DI[-\s]?ILD)\b),C,C_treatment_safety_context,treatment_safety_context,drug_safety_outcome,specific,treatment_context,treatment_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: adverse event / DI-ILD; removed standalone pneumonitis to avoid HP false positives; keeps explicit drug-induced and named-drug-induced ILD/pneumonitis/lung injury; safe_complete_patch_20260519; reverted_to_v1; Kept v1 safety patch; avoids standalone pneumonitis false positives.; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,16,1.07,3,AE-ILD=2; progression=3; mortality=5,10,5,mortality,Treatment context separated from primary disease-state bridge claims.
